district,community,date,count
宝山区,丰翔路1675号,4月:8,1
宝山区,丰翔路1888弄,"3月:23,27",2
宝山区,丰翔路2000号,4月:8,1
宝山区,丰翔路619号,4月:9,1
宝山区,冯江巷36号,4月:8,1
宝山区,抚远路1211号,4月:9,1
宝山区,抚远路1211弄,"4月:5,9",2
宝山区,抚远路1288弄,"4月:5,9,10",3
宝山区,抚远路1872号,4月:7,1
宝山区,抚远路2588号,"4月:8,9",2
宝山区,抚远路885弄,4月:9,1
宝山区,富锦路1500号,"3月:26,28",2
宝山区,富锦路1815弄,4月:9,1
宝山区,富锦路2207号,4月:8,1
宝山区,富锦路2235号,4月:13,1
宝山区,富锦路2335号,4月:13,1
宝山区,富锦路2785号,4月:9,1
宝山区,富锦路4888号,4月:9,1
宝山区,富锦路5278弄,"4月:7,8",2
宝山区,富锦路5332号,4月:9,1
宝山区,富联二路177弄,4月:8,1
宝山区,富联二路55弄,"3月:21,23,24,26",4
宝山区,富联路1188号,"4月:8,9,10",3
宝山区,富联路128弄,"3月:23,26; 4月:8,9,10,13",6
宝山区,富联路200号,4月:9,1
宝山区,富联路25号,3月:27; 4月:13,2
宝山区,富联路25弄,3月:29,1
宝山区,富联路39号,4月:8,1
宝山区,富联路646弄,"3月:30; 4月:2,5,9",4
宝山区,富联三路28号,4月:10,1
宝山区,富联一路19号,3月:28; 4月:13,2
宝山区,富南路199弄,"3月:28; 4月:2,6,7,8,9,10,11",8
宝山区,富南路256弄,"4月:7,10,11",3
宝山区,富强村,4月:7,1
宝山区,富杨路223号,4月:9,1
宝山区,富杨路223弄,3月:30; 4月:12,2
宝山区,富杨路608号,3月:30; 4月:2,2
宝山区,高椿树村,4月:9,1
宝山区,高境村,"4月:9,10",2
宝山区,高境二村,"3月:21,26,30; 4月:1,3,4,6,7,9,10",10
宝山区,高境路477弄,"3月:25,26; 4月:2,4,6,7,8,9,10,11,12,13",12
宝山区,高境路501号,4月:6,1
宝山区,高境路600号,4月:10,1
宝山区,高境一村,"4月:2,9,10,11",4
宝山区,高逸路110弄,"4月:8,9",2
宝山区,高逸路168号,4月:8,1
宝山区,高逸路198号,4月:4,1
宝山区,高逸路201弄,"3月:26,28; 4月:6,8",4
宝山区,高逸路228号,4月:10,1
宝山区,高跃路133弄,"4月:2,5,6,8,9,10,11,12",8
宝山区,高跃路176号,"4月:8,10",2
宝山区,革新路10号,4月:8,1
宝山区,革新路11号,"4月:8,9",2
宝山区,革新路16号,4月:8,1
宝山区,革新路20号,4月:8,1
宝山区,革新路37号,4月:9,1
宝山区,革新路7号,"4月:8,9",2
宝山区,工业路518号,4月:8,1
宝山区,共富二村,"3月:26,27,28,29; 4月:1,3,6,8,9,10,11",11
宝山区,共富路101号,4月:11,1
宝山区,共富路111号,4月:11,1
宝山区,共富路11号,4月:5,1
宝山区,共富路154号,4月:9,1
宝山区,共富路156弄,"4月:5,8",2
宝山区,共富路183弄,"4月:5,8",2
宝山区,共富路228弄,"3月:26,29; 4月:6,11",4
宝山区,共富路305弄,"4月:6,11",2
宝山区,共富路348号,4月:5,1
宝山区,共富路351弄,"4月:5,6,8,9",4
宝山区,共富路381号,4月:9,1
宝山区,共富路476弄,"3月:29; 4月:6,10,13",4
宝山区,共富路518弄,"4月:8,12,13",3
宝山区,共富路569弄,"4月:8,13",2
宝山区,共富路589弄,4月:13,1
宝山区,共富路618号,4月:13,1
宝山区,共富路99弄,"4月:5,6,7",3
宝山区,共富三村,"4月:12,13",2
宝山区,共富四村,"3月:28; 4月:1,2,6,8,9,10,11",8
宝山区,共富一村,"3月:27; 4月:2,3,6,8,9,10,11,12,13",10
宝山区,共和八村,"3月:29; 4月:8,10,12",4
宝山区,共和二村,"4月:2,7,8,9,11",5
宝山区,共和三村,"4月:4,6,7,8,9,10",6
宝山区,共和四村,"4月:6,8",2
宝山区,共和五村,"4月:7,8,9",3
宝山区,共和新路4699弄,4月:12,1
宝山区,共和新路4701号,"4月:6,8",2
宝山区,共和新路4701弄,4月:9,1
宝山区,共和新路4703弄,"4月:2,6,7,8,9,11,13",7
宝山区,共和新路4719弄,"3月:23,24,26,28,30; 4月:1,6,7,9,10",10
宝山区,共和新路4739弄,4月:3,1
宝山区,共和新路5000弄,"4月:8,13",2
宝山区,共和新路5199号,4月:8,1
宝山区,共和新路5219号,4月:9,1
宝山区,共和新路5288号,"4月:6,8,9,12,13",5
宝山区,共和新路5308弄,"3月:30; 4月:3,5,6,8,9,10,11,12",9
宝山区,共和一村,"3月:28,30; 4月:9,11",4
宝山区,共江路1128弄,4月:10,1
宝山区,共江路1169号,4月:8,1
宝山区,共江路1169弄,4月:5,1
宝山区,共江路721号,4月:9,1
宝山区,共江路749号,"4月:5,8",2
宝山区,共江路992号,4月:9,1
宝山区,共康八村,"4月:10,11",2
宝山区,共康东路161号,3月:29; 4月:8,2
宝山区,共康东路385号,4月:10,1
宝山区,共康六村,"4月:2,3,6,10,11",5
宝山区,共康六村二居,3月:28,1
宝山区,共康路1089号,4月:6,1
宝山区,共康路169弄,"4月:8,9,10,11",4
宝山区,共康路400弄,4月:10,1
宝山区,共康路421号,"4月:6,8",2
宝山区,共康路828号,4月:9,1
宝山区,共康路828弄,4月:8,1
宝山区,共康路852弄,3月:30,1
宝山区,共康路88弄,"4月:5,10,11",3
宝山区,共康路98号,4月:8,1
宝山区,共康七村,"3月:28; 4月:3,8,11,12",5
宝山区,共康五村,"4月:9,10,11,13",4
宝山区,共泉路5288号,4月:11,1
宝山区,共祥路168号,4月:6,1
宝山区,共悦路218号,4月:8,1
宝山区,共悦路415号,4月:10,1
宝山区,古莲路110弄,4月:5,1
宝山区,古莲路328号,4月:5,1
宝山区,古莲路80弄,4月:5,1
宝山区,顾北东路155弄,"3月:24,26; 4月:4,6,8,9",6
宝山区,顾北东路188弄,"3月:30; 4月:2,3,5,8,9,11,13",8
宝山区,顾北东路39弄,"3月:29; 4月:2,3,8,9,10",6
宝山区,顾北东路500弄,"3月:21,23,24,26,27,28; 4月:13",7
宝山区,顾北东路501弄,"4月:8,9,10,13",4
宝山区,顾北东路88弄,4月:8,1
宝山区,顾北路101号,4月:9,1
宝山区,顾北路666号,3月:23,1
宝山区,顾北路666弄,3月:26,1
宝山区,顾北路689弄,4月:13,1
宝山区,顾北路85号,4月:9,1
宝山区,顾陈路215号,4月:12,1
宝山区,顾陈路231弄,"3月:21,22,24; 4月:8,10",5
宝山区,顾陈路2号,4月:11,1
宝山区,顾陈路319号,3月:18,1
宝山区,顾陈路321号,3月:24,1
宝山区,顾陈路388号,"3月:24,26,27; 4月:8",4
宝山区,顾陈路455号,4月:10,1
宝山区,顾陈路455弄,"3月:24,26; 4月:8",3
宝山区,顾陈路488号,4月:8,1
宝山区,顾陈路510号,4月:9,1
宝山区,顾城路231弄,4月:5,1
宝山区,顾村村,"4月:9,10,11",3
宝山区,顾村镇盛宅村,3月:18,1
宝山区,顾荻路161弄,4月:12,1
宝山区,顾泾河路30弄,"4月:5,9",2
宝山区,顾太路380号,4月:9,1
宝山区,顾太路7号,4月:7,1
宝山区,顾太路98号,"4月:6,10",2
宝山区,顾新东路387弄,4月:5,1
宝山区,光明村,4月:3,1
宝山区,广福村,"4月:6,7,8,9",4
宝山区,归王村,"3月:26; 4月:2,8,9,10",5
宝山区,国权北路111号,4月:6,1
宝山区,国权北路1450弄,4月:10,1
宝山区,国权北路290弄,"3月:31; 4月:3,4,7,8,9,10",7
宝山区,国权北路351弄,"4月:6,7,8,9,10",5
宝山区,国权北路380弄,"4月:2,4",2
宝山区,国权北路460弄,4月:7,1
宝山区,国权北路515号,"4月:5,10",2
宝山区,国权北路568号,4月:10,1
宝山区,国权北路579号,4月:8,1
宝山区,国权北路61号,"4月:8,9",2
宝山区,国权北路639号,"4月:6,8",2
宝山区,国权北路815弄,"4月:4,12",2
宝山区,国权北路828弄,"4月:4,7,8,9,10,11,13",7
宝山区,国权北路829弄,"4月:3,6,8,10",4
宝山区,海滨八村,"3月:28,30; 4月:4,8,9,10,11",7
宝山区,海滨二村,"3月:30; 4月:8,10,11,13",5
宝山区,海滨七村,"3月:30; 4月:2,3,8,10,11,13",7
宝山区,海滨三村,"3月:27,29; 4月:9,10,11,13",6
宝山区,海滨四村,"4月:8,10",2
宝山区,海滨五村,"4月:8,9,10,11",4
宝山区,海滨新村,"4月:6,9,10,11,13",5
宝山区,海滨新村23号,3月:29,1
宝山区,海笛路199弄,"3月:28; 4月:3,5",3
宝山区,海笛路333弄,"4月:7,13",2
宝山区,海红村,4月:8,1
宝山区,海江二村,"4月:2,3,4,5,6,8,9,10,13",9
宝山区,海江路122号,4月:10,1
宝山区,海江路277号,4月:10,1
宝山区,海江路337号,4月:9,1
宝山区,海江路667弄,"4月:3,8,9,10,11",5
宝山区,海江新村,4月:8,1
宝山区,海江一村,"4月:8,13",2
宝山区,海陆村,4月:8,1
宝山区,海星村,"3月:28; 4月:6,10",3
宝山区,韩家湾,4月:11,1
宝山区,韩家湾76弄,4月:8,1
宝山区,涵青路100弄,"3月:23,24,26,28; 4月:6,8,9,10,11,12",10
宝山区,涵青路398弄,"3月:23; 4月:5,6,8,10,13",6
宝山区,和合路9号,4月:10,1
宝山区,何家湾路111弄,4月:8,1
宝山区,何家湾路48号,"4月:9,10",2
宝山区,何家湾路49号,4月:8,1
宝山区,合建村,"3月:28,29; 4月:7,9,10",5
宝山区,合众村,"4月:6,10,13",3
宝山区,鹤岗路288号,4月:8,1
宝山区,鹤岗路301号,"4月:8,13",2
宝山区,鹤林路250弄,3月:30,1
宝山区,鹤林路298弄,4月:7,1
宝山区,鹤林路58弄,"4月:2,7,8,9",4
宝山区,恒高路100号,"4月:5,9",2
宝山区,恒高路127弄,"4月:6,7,8,9,10,11,12,13",8
宝山区,恒高路128弄,"4月:3,6,7,8,9,10,11,13",8
宝山区,恒高路56弄,4月:8,1
宝山区,恒高路65号,4月:11,1
宝山区,恒高路75号,4月:11,1
宝山区,恒高路83弄,"4月:5,6,7,8,9,10,11",7
宝山区,红光村,"4月:2,10",2
宝山区,红林路158弄,"4月:3,9",2
宝山区,红林路528弄,"4月:8,10",2
宝山区,红林路576弄,"3月:29; 4月:2,3,5,10,12",6
宝山区,红林路589弄,"3月:30; 4月:2,8",3
宝山区,红林路99弄,"3月:27; 4月:7,8,10",4
宝山区,呼兰路15号,4月:13,1
宝山区,呼兰路201弄,4月:9,1
宝山区,呼兰路445号,4月:6,1
宝山区,呼兰路455号,"4月:8,9,10,11",4
宝山区,呼兰路455弄,4月:7,1
宝山区,呼兰路505号,4月:10,1
宝山区,呼兰路515弄,"3月:26,27,28,29,30; 4月:4,5,6,7,8,9,10,11",13
宝山区,呼兰路519号,4月:8,1
宝山区,呼兰路525号,4月:8,1
宝山区,呼兰路525弄,4月:10,1
宝山区,呼兰路555号,4月:8,1
宝山区,呼兰路653号,4月:8,1
宝山区,呼兰路799号,4月:10,1
宝山区,呼兰路911弄,"4月:8,9",2
宝山区,呼兰路92号,4月:8,1
宝山区,呼兰路99号,3月:29,1
宝山区,呼兰西路100号,4月:8,1
宝山区,呼兰西路123号,3月:24,1
宝山区,呼兰西路60弄,"3月:30; 4月:2,10,11",4
宝山区,呼玛二村,"3月:18,28,30; 4月:2,3,4,5,6,8,9,10,11,13",13
宝山区,呼玛路376号,"4月:5,6,8",3
宝山区,呼玛路528号,"4月:3,5",2
宝山区,呼玛路535号,4月:5,1
宝山区,呼玛路537号,"4月:8,10,11",3
宝山区,呼玛路547号,4月:8,1
宝山区,呼玛路549号,"4月:8,9,11",3
宝山区,呼玛路599号,"4月:5,8,9",3
宝山区,呼玛路604号,3月:30,1
宝山区,呼玛路659号,4月:5,1
宝山区,呼玛路682弄,"4月:8,10",2
宝山区,呼玛路779号,4月:6,1
宝山区,呼玛路792号,4月:8,1
